"V1" "V2"
"362" "*M362" "pPt-654751"
"363" "*M363" "toPt-438485"
"364" "*M364" "toPt-439251"
"365" "*M365" "toPt-440369"
"366" "*M366" "pPt-458198"
"367" "*M367" "pPt-458465"
"368" "*M368" "stsnp_c1_15216"
"369" "*M369" "pPt-458475"
"370" "*M370" "pPt-652171"
"371" "*M371" "pPt-459092"
"372" "*M372" "pPt-457825"
"373" "*M373" "stsnp_c1_10324"
"374" "*M374" "stsnp_c1_12656"
"375" "*M375" "stsnp_c1_9069"
"376" "*M376" "stsnp_c1_12614"
"377" "*M377" "pPt-458108"
"378" "*M378" "PM0139_159"
"379" "*M379" "stsnp_c1_7206"
"380" "*M380" "pPt-651366"
"381" "*M381" "stsnp_c1_11111"
"382" "*M382" "pPt-534589"
"383" "*M383" "pPt-653767"
"384" "*M384" "pPt-536045"
"385" "*M385" "pPt-538065"
"386" "*M386" "pPt-534298"
"387" "*M387" "pPt-470834"
"388" "*M388" "stsnp_c1_2189"
"389" "*M389" "stsnp_c1_2221"
"390" "*M390" "stsnp_c1_6633"
"391" "*M391" "PM0206_202"
"392" "*M392" "stsnp_c1_6643"
"393" "*M393" "pPt-538888"
"394" "*M394" "PM0395_122"
"395" "*M395" "toPt-437706"
"396" "*M396" "toPt-437157"
"397" "*M397" "pPt-650846"
"398" "*M398" "PM1319_196"
"399" "*M399" "stsnp_c1_872"
"400" "*M400" "stsnp_c1_4818"
"401" "*M401" "stsnp_c1_1300"
"402" "*M402" "stsnp_c1_6967"
"403" "*M403" "stsnp_c1_4929"
"404" "*M404" "pPt-471962"
"405" "*M405" "pPt-656960"
"406" "*M406" "pPt-654406"
"407" "*M407" "pPt-652740"
"408" "*M408" "PM1298_158"
"409" "*M409" "stsnp_c1_11568"
"410" "*M410" "PM0459_195"
"411" "*M411" "MICRO.1639.C1_470"
"412" "*M412" "PM1351_171"
"413" "*M413" "pPt-652539"
"414" "*M414" "pPt-651796"
"415" "*M415" "pPt-538415"
"416" "*M416" "pPt-459526"
"417" "*M417" "pPt-552249"
"418" "*M418" "pPt-459333"
"419" "*M419" "pPt-456687"
"420" "*M420" "pPt-472737"
"421" "*M421" "pPt-471864"
"422" "*M422" "PM1295_152"
"423" "*M423" "stsnp_c1_7491"
"424" "*M424" "toPt-441245"
